smiles,n_atoms,n_stereocenters,mol_id,diastereomer_id
[H:19][C@@:9]1([C@:7]([C@:5]([O:4][C:3]([C@@:2]1([H:12])[O:1][H:11])([H:13])[H:14])([H:15])[O:6][H:16])([H:17])[O:8][H:18])[O:10][H:20],20,4,138,9
[H:19][C@@:9]1([C@:7]([C@:5]([O:4][C:3]([C@:2]1([H:12])[O:1][H:11])([H:13])[H:14])([H:15])[O:6][H:16])([H:17])[O:8][H:18])[O:10][H:20],20,4,138,10
[H:19][C@@:9]1([C@:7]([C@@:5]([O:4][C:3]([C@@:2]1([H:12])[O:1][H:11])([H:13])[H:14])([H:15])[O:6][H:16])([H:17])[O:8][H:18])[O:10][H:20],20,4,138,11
[H:19][C@@:9]1([C@:7]([C@@:5]([O:4][C:3]([C@:2]1([H:12])[O:1][H:11])([H:13])[H:14])([H:15])[O:6][H:16])([H:17])[O:8][H:18])[O:10][H:20],20,4,138,12
[H:19][C@@:9]1([C@@:7]([C@:5]([O:4][C:3]([C@@:2]1([H:12])[O:1][H:11])([H:13])[H:14])([H:15])[O:6][H:16])([H:17])[O:8][H:18])[O:10][H:20],20,4,138,13
[H:19][C@@:9]1([C@@:7]([C@:5]([O:4][C:3]([C@:2]1([H:12])[O:1][H:11])([H:13])[H:14])([H:15])[O:6][H:16])([H:17])[O:8][H:18])[O:10][H:20],20,4,138,14
[H:19][C@@:9]1([C@@:7]([C@@:5]([O:4][C:3]([C@@:2]1([H:12])[O:1][H:11])([H:13])[H:14])([H:15])[O:6][H:16])([H:17])[O:8][H:18])[O:10][H:20],20,4,138,15
[H:11][C:3]1=[C:2]([S:10][C@:9]2([C@:4]1([C:5]([N:6]([C:7]([C:8]2([H:18])[H:19])([H:16])[H:17])[H:15])([H:13])[H:14])[H:12])[H:20])[Br:1],20,2,139,1
[H:11][C:3]1=[C:2]([S:10][C@:9]2([C@@:4]1([C:5]([N:6]([C:7]([C:8]2([H:18])[H:19])([H:16])[H:17])[H:15])([H:13])[H:14])[H:12])[H:20])[Br:1],20,2,139,2
[H:11][C:3]1=[C:2]([S:10][C@@:9]2([C@:4]1([C:5]([N:6]([C:7]([C:8]2([H:18])[H:19])([H:16])[H:17])[H:15])([H:13])[H:14])[H:12])[H:20])[Br:1],20,2,139,3
[H:15][C@:6]1([C:5]([C:4]([P@:2](=[O:1])([C:9]1([H:19])[H:20])[O:3][H:10])([H:11])[H:12])([H:13])[H:14])[C:7]([H:16])([H:17])[O:8][H:18],20,2,140,1
[H:15][C@:6]1([C:5]([C:4]([P@@:2](=[O:1])([C:9]1([H:19])[H:20])[O:3][H:10])([H:11])[H:12])([H:13])[H:14])[C:7]([H:16])([H:17])[O:8][H:18],20,2,140,2
[H:15][C@@:6]1([C:5]([C:4]([P@:2](=[O:1])([C:9]1([H:19])[H:20])[O:3][H:10])([H:11])[H:12])([H:13])[H:14])[C:7]([H:16])([H:17])[O:8][H:18],20,2,140,3
[H:12][C@:2]([C:1]([H:9])([H:10])[H:11])([C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N:5]([H:17])[H:18])[P@:6](=[O:7])([H:19])[O:8][H:20],20,2,141,1
[H:12][C@@:2]([C:1]([H:9])([H:10])[H:11])([C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N:5]([H:17])[H:18])[P@:6](=[O:7])([H:19])[O:8][H:20],20,2,141,2
[H:12][C@:2]([C:1]([H:9])([H:10])[H:11])([C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[N:5]([H:17])[H:18])[P@@:6](=[O:7])([H:19])[O:8][H:20],20,2,141,3
[H:13][C@:5]1([C@@:6]([N@:8]1[C:9]([H:18])([H:19])[H:20])([H:14])[C:7]([H:15])([H:16])[H:17])[C:3](=[O:4])[O:2][C:1]([H:10])([H:11])[H:12],20,3,142,1
[H:13][C@@:5]1([C@@:6]([N@:8]1[C:9]([H:18])([H:19])[H:20])([H:14])[C:7]([H:15])([H:16])[H:17])[C:3](=[O:4])[O:2][C:1]([H:10])([H:11])[H:12],20,3,142,2
[H:13][C@:5]1([C@:6]([N@:8]1[C:9]([H:18])([H:19])[H:20])([H:14])[C:7]([H:15])([H:16])[H:17])[C:3](=[O:4])[O:2][C:1]([H:10])([H:11])[H:12],20,3,142,3
[H:13][C@@:5]1([C@:6]([N@:8]1[C:9]([H:18])([H:19])[H:20])([H:14])[C:7]([H:15])([H:16])[H:17])[C:3](=[O:4])[O:2][C:1]([H:10])([H:11])[H:12],20,3,142,4
[H:13][C@:5]1([C@@:6]([N@@:8]1[C:9]([H:18])([H:19])[H:20])([H:14])[C:7]([H:15])([H:16])[H:17])[C:3](=[O:4])[O:2][C:1]([H:10])([H:11])[H:12],20,3,142,5
[H:13][C@@:5]1([C@@:6]([N@@:8]1[C:9]([H:18])([H:19])[H:20])([H:14])[C:7]([H:15])([H:16])[H:17])[C:3](=[O:4])[O:2][C:1]([H:10])([H:11])[H:12],20,3,142,6
[H:13][C@:5]1([C@:6]([N@@:8]1[C:9]([H:18])([H:19])[H:20])([H:14])[C:7]([H:15])([H:16])[H:17])[C:3](=[O:4])[O:2][C:1]([H:10])([H:11])[H:12],20,3,142,7
[H:12][C@@:2]([C:1]([H:9])([H:10])[H:11])([C:4]([H:15])([H:16])[C:5]([H:17])([H:18])[P@:6](=[O:7])([H:19])[O:8][H:20])[N:3]([H:13])[H:14],20,2,143,1
[H:12][C@:2]([C:1]([H:9])([H:10])[H:11])([C:4]([H:15])([H:16])[C:5]([H:17])([H:18])[P@:6](=[O:7])([H:19])[O:8][H:20])[N:3]([H:13])[H:14],20,2,143,2
[H:12][C@@:2]([C:1]([H:9])([H:10])[H:11])([C:4]([H:15])([H:16])[C:5]([H:17])([H:18])[P@@:6](=[O:7])([H:19])[O:8][H:20])[N:3]([H:13])[H:14],20,2,143,3
[H:14][C@@:5]([C:2](=[O:1])[C:3]([H:11])([H:12])[O:4][H:13])([C@:7]([H:16])([C:9]([H:18])([H:19])[O:10][H:20])[O:8][H:17])[O:6][H:15],20,2,144,1
[H:14][C@:5]([C:2](=[O:1])[C:3]([H:11])([H:12])[O:4][H:13])([C@:7]([H:16])([C:9]([H:18])([H:19])[O:10][H:20])[O:8][H:17])[O:6][H:15],20,2,144,2
[H:14][C@@:5]([C:2](=[O:1])[C:3]([H:11])([H:12])[O:4][H:13])([C@@:7]([H:16])([C:9]([H:18])([H:19])[O:10][H:20])[O:8][H:17])[O:6][H:15],20,2,144,3
[H:11][C:1](=[C:2]1[C:9](=[O:10])[O:8][C@:4]([C:3]1([H:13])[H:14])([H:15])[C@@:5]([H:16])([C:6]([H:17])([H:18])[H:19])[O:7][H:20])[H:12],20,2,145,1
[H:11][C:1](=[C:2]1[C:9](=[O:10])[O:8][C@@:4]([C:3]1([H:13])[H:14])([H:15])[C@@:5]([H:16])([C:6]([H:17])([H:18])[H:19])[O:7][H:20])[H:12],20,2,145,2
[H:11][C:1](=[C:2]1[C:9](=[O:10])[O:8][C@:4]([C:3]1([H:13])[H:14])([H:15])[C@:5]([H:16])([C:6]([H:17])([H:18])[H:19])[O:7][H:20])[H:12],20,2,145,3
[H:19][C@@:8]1([C@:6]([N:7]1[H:18])([H:17])[C:4](=[O:5])[O:3][C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[C:9](=[O:10])[O:11][H:20],20,3,146,1
[H:19][C@@:8]1([C@@:6]([N:7]1[H:18])([H:17])[C:4](=[O:5])[O:3][C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[C:9](=[O:10])[O:11][H:20],20,3,146,2
[H:19][C@:8]1([C@:6]([N:7]1[H:18])([H:17])[C:4](=[O:5])[O:3][C:2]([H:15])([H:16])[C:1]([H:12])([H:13])[H:14])[C:9](=[O:10])[O:11][H:20],20,3,146,3
[H:16][C:8]1=[C:9]([C:10]([C@:11]2([C:2](=[O:1])[N:3]([C:4](=[O:5])[C@@:6]2([C:7]1([H:14])[H:15])[H:13])[H:12])[H:20])([H:18])[H:19])[H:17],20,2,147,1
[H:16][C:8]1=[C:9]([C:10]([C@:11]2([C:2](=[O:1])[N:3]([C:4](=[O:5])[C@:6]2([C:7]1([H:14])[H:15])[H:13])[H:12])[H:20])([H:18])[H:19])[H:17],20,2,147,2
[H:19][C@:9]1([C@:7]([N:5]([C:3](=[O:4])[N:2]1[C:1]([H:11])([H:12])[H:13])[C:6]([H:14])([H:15])[H:16])([H:17])[O:8][H:18])[O:10][H:20],20,2,148,1
[H:17][C@:7]1([C@@:9]([N:2]([C:3](=[O:4])[N:5]1[C:6]([H:14])([H:15])[H:16])[C:1]([H:11])([H:12])[H:13])([H:19])[O:10][H:20])[O:8][H:18],20,2,148,2
[H:17][C@@:7]1([C@:9]([N:2]([C:3](=[O:4])[N:5]1[C:6]([H:14])([H:15])[H:16])[C:1]([H:11])([H:12])[H:13])([H:19])[O:10][H:20])[O:8][H:18],20,2,148,3
[H:13][C@:3]1([C:4]([O:5]1)([H:14])[H:15])[C@@:2]([H:12])([C@:6]([H:16])([C@@:8]2([C:9]([O:10]2)([H:19])[H:20])[H:18])[O:7][H:17])[O:1][H:11],20,4,149,1
[H:13][C@:3]1([C:4]([O:5]1)([H:14])[H:15])[C@:2]([H:12])([C@:6]([H:16])([C@@:8]2([C:9]([O:10]2)([H:19])[H:20])[H:18])[O:7][H:17])[O:1][H:11],20,4,149,2
[H:13][C@@:3]1([C:4]([O:5]1)([H:14])[H:15])[C@@:2]([H:12])([C@:6]([H:16])([C@@:8]2([C:9]([O:10]2)([H:19])[H:20])[H:18])[O:7][H:17])[O:1][H:11],20,4,149,3
[H:13][C@@:3]1([C:4]([O:5]1)([H:14])[H:15])[C@:2]([H:12])([C@:6]([H:16])([C@@:8]2([C:9]([O:10]2)([H:19])[H:20])[H:18])[O:7][H:17])[O:1][H:11],20,4,149,4
[H:13][C@:3]1([C:4]([O:5]1)([H:14])[H:15])[C@:2]([H:12])([C@@:6]([H:16])([C@@:8]2([C:9]([O:10]2)([H:19])[H:20])[H:18])[O:7][H:17])[O:1][H:11],20,4,149,5
[H:13][C@@:3]1([C:4]([O:5]1)([H:14])[H:15])[C@@:2]([H:12])([C@@:6]([H:16])([C@@:8]2([C:9]([O:10]2)([H:19])[H:20])[H:18])[O:7][H:17])[O:1][H:11],20,4,149,6
[H:13][C@@:3]1([C:4]([O:5]1)([H:14])[H:15])[C@:2]([H:12])([C@@:6]([H:16])([C@@:8]2([C:9]([O:10]2)([H:19])[H:20])[H:18])[O:7][H:17])[O:1][H:11],20,4,149,7
[H:13][C@@:3]1([C:4]([O:5]1)([H:14])[H:15])[C@@:2]([H:12])([C@:6]([H:16])([C@:8]2([C:9]([O:10]2)([H:19])[H:20])[H:18])[O:7][H:17])[O:1][H:11],20,4,149,8
[H:13][C@@:3]1([C:4]([O:5]1)([H:14])[H:15])[C@:2]([H:12])([C@:6]([H:16])([C@:8]2([C:9]([O:10]2)([H:19])[H:20])[H:18])[O:7][H:17])[O:1][H:11],20,4,149,9
[H:6][C@:5]([C:8](=[O:9])[O:10][H:20])([C@@:3]([H:16])([C:2]([H:14])([H:15])[C:1]([H:11])([H:12])[H:13])[O:4][H:17])[N:7]([H:18])[H:19],20,2,150,1
[H:6][C@:5]([C:8](=[O:9])[O:10][H:20])([C@:3]([H:16])([C:2]([H:14])([H:15])[C:1]([H:11])([H:12])[H:13])[O:4][H:17])[N:7]([H:18])[H:19],20,2,150,2
[H:6][C@@:5]([C:8](=[O:9])[O:10][H:20])([C@@:3]([H:16])([C:2]([H:14])([H:15])[C:1]([H:11])([H:12])[H:13])[O:4][H:17])[N:7]([H:18])[H:19],20,2,150,3
[H:10][C@@:9]12[C@@:4]([C:5]([C:6]([C:7]([C:8]1([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])([O:3][C:2](=[S:1])[O:11]2)[H:12],20,2,151,1
[H:10][C@@:9]12[C@:4]([C:5]([C:6]([C:7]([C:8]1([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])([O:3][C:2](=[S:1])[O:11]2)[H:12],20,2,151,2
[H:10][C@:9]12[C@@:4]([C:5]([C:6]([C:7]([C:8]1([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])([O:3][C:2](=[S:1])[O:11]2)[H:12],20,2,151,3
[H:6][C@:5]([C:8](=[O:9])[O:10][H:20])([C@@:2]([H:14])([C:1]([H:11])([H:12])[H:13])[C:3]([H:15])([H:16])[O:4][H:17])[N:7]([H:18])[H:19],20,2,152,1
[H:6][C@:5]([C:8](=[O:9])[O:10][H:20])([C@:2]([H:14])([C:1]([H:11])([H:12])[H:13])[C:3]([H:15])([H:16])[O:4][H:17])[N:7]([H:18])[H:19],20,2,152,2
[H:6][C@@:5]([C:8](=[O:9])[O:10][H:20])([C@@:2]([H:14])([C:1]([H:11])([H:12])[H:13])[C:3]([H:15])([H:16])[O:4][H:17])[N:7]([H:18])[H:19],20,2,152,3
[H:15][C@@:5]([C:7]([H:18])([H:19])[C:8](=[O:9])[O:10][H:20])([N:6]([H:16])[H:17])[P@@:2](=[O:3])([C:1]([H:11])([H:12])[H:13])[O:4][H:14],20,2,153,1
[H:15][C@@:5]([C:7]([H:18])([H:19])[C:8](=[O:9])[O:10][H:20])([N:6]([H:16])[H:17])[P@:2](=[O:3])([C:1]([H:11])([H:12])[H:13])[O:4][H:14],20,2,153,2
[H:15][C@:5]([C:7]([H:18])([H:19])[C:8](=[O:9])[O:10][H:20])([N:6]([H:16])[H:17])[P@@:2](=[O:3])([C:1]([H:11])([H:12])[H:13])[O:4][H:14],20,2,153,3
[H:19][C:8]1=[C:7]([C:6]([N:5]([C@:3]([C@@:9]1([H:10])[O:11][H:20])([H:4])[C:2]([H:13])([H:14])[O:1][H:12])[H:15])([H:16])[H:17])[H:18],20,2,154,1
[H:19][C:8]1=[C:7]([C:6]([N:5]([C@@:3]([C@@:9]1([H:10])[O:11][H:20])([H:4])[C:2]([H:13])([H:14])[O:1][H:12])[H:15])([H:16])[H:17])[H:18],20,2,154,2
[H:19][C:8]1=[C:7]([C:6]([N:5]([C@:3]([C@:9]1([H:10])[O:11][H:20])([H:4])[C:2]([H:13])([H:14])[O:1][H:12])[H:15])([H:16])[H:17])[H:18],20,2,154,3
[H:9][C@@:8]1([C@@:3]([C:5]([N:6]([C:7]1([H:18])[H:19])[H:17])([H:15])[H:16])([C:2]([H:12])([H:13])[O:1][H:11])[O:4][H:14])[O:10][H:20],20,2,155,1
[H:9][C@:8]1([C@@:3]([C:5]([N:6]([C:7]1([H:18])[H:19])[H:17])([H:15])[H:16])([C:2]([H:12])([H:13])[O:1][H:11])[O:4][H:14])[O:10][H:20],20,2,155,2
[H:9][C@@:8]1([C@:3]([C:5]([N:6]([C:7]1([H:18])[H:19])[H:17])([H:15])[H:16])([C:2]([H:12])([H:13])[O:1][H:11])[O:4][H:14])[O:10][H:20],20,2,155,3
[H:6][C@:5]([C:8](=[O:9])[O:10][H:20])([C@:3]([H:14])([C:4]([H:15])([H:16])[H:17])[O:2][C:1]([H:11])([H:12])[H:13])[N:7]([H:18])[H:19],20,2,156,1
[H:6][C@:5]([C:8](=[O:9])[O:10][H:20])([C@@:3]([H:14])([C:4]([H:15])([H:16])[H:17])[O:2][C:1]([H:11])([H:12])[H:13])[N:7]([H:18])[H:19],20,2,156,2
[H:6][C@@:5]([C:8](=[O:9])[O:10][H:20])([C@:3]([H:14])([C:4]([H:15])([H:16])[H:17])[O:2][C:1]([H:11])([H:12])[H:13])[N:7]([H:18])[H:19],20,2,156,3
[H:13][C@:4]1([C:5]([C:6]([C@@:7]([N:11]1[H:20])([H:18])[C:8](=[O:9])[O:10][H:19])([H:16])[H:17])([H:14])[H:15])[C:2](=[O:1])[O:3][H:12],20,2,157,1
[H:18][C@:7]1([C:6]([C:5]([C@:4]([N:11]1[H:20])([H:13])[C:2](=[O:1])[O:3][H:12])([H:14])[H:15])([H:16])[H:17])[C:8](=[O:9])[O:10][H:19],20,2,157,2
[H:8][C@@:7]1([C@@:2]([C:4]([C:5]([C:6]1([H:18])[H:19])([H:16])[H:17])([H:14])[H:15])([H:3])[N:1]([H:12])[H:13])[C:9](=[O:10])[O:11][H:20],20,2,158,1
[H:8][C@:7]1([C@@:2]([C:4]([C:5]([C:6]1([H:18])[H:19])([H:16])[H:17])([H:14])[H:15])([H:3])[N:1]([H:12])[H:13])[C:9](=[O:10])[O:11][H:20],20,2,158,2
[H:8][C@@:7]1([C@:2]([C:4]([C:5]([C:6]1([H:18])[H:19])([H:16])[H:17])([H:14])[H:15])([H:3])[N:1]([H:12])[H:13])[C:9](=[O:10])[O:11][H:20],20,2,158,3
[H:14][C@:4]1([C:5]([C:6]([C@@:7]([S:11][S:12]1)([H:19])[C:8](=[O:9])[O:10][H:20])([H:17])[H:18])([H:15])[H:16])[C:2](=[O:1])[O:3][H:13],20,2,159,1
[H:19][C@:7]1([C:6]([C:5]([C@:4]([S:12][S:11]1)([H:14])[C:2](=[O:1])[O:3][H:13])([H:15])[H:16])([H:17])[H:18])[C:8](=[O:9])[O:10][H:20],20,2,159,2
[H:13][C:2](=[O:1])[C@:3]([H:14])([C@:5]1([C@:11]([C@:9]([C:7](=[O:8])[O:6]1)([H:17])[O:10][H:18])([H:19])[O:12][H:20])[H:16])[O:4][H:15],20,4,160,1
[H:13][C:2](=[O:1])[C@@:3]([H:14])([C@:5]1([C@:11]([C@:9]([C:7](=[O:8])[O:6]1)([H:17])[O:10][H:18])([H:19])[O:12][H:20])[H:16])[O:4][H:15],20,4,160,2
[H:13][C:2](=[O:1])[C@:3]([H:14])([C@@:5]1([C@:11]([C@:9]([C:7](=[O:8])[O:6]1)([H:17])[O:10][H:18])([H:19])[O:12][H:20])[H:16])[O:4][H:15],20,4,160,3
[H:13][C:2](=[O:1])[C@@:3]([H:14])([C@@:5]1([C@:11]([C@:9]([C:7](=[O:8])[O:6]1)([H:17])[O:10][H:18])([H:19])[O:12][H:20])[H:16])[O:4][H:15],20,4,160,4
[H:13][C:2](=[O:1])[C@:3]([H:14])([C@:5]1([C@:11]([C@@:9]([C:7](=[O:8])[O:6]1)([H:17])[O:10][H:18])([H:19])[O:12][H:20])[H:16])[O:4][H:15],20,4,160,5
[H:13][C:2](=[O:1])[C@@:3]([H:14])([C@:5]1([C@:11]([C@@:9]([C:7](=[O:8])[O:6]1)([H:17])[O:10][H:18])([H:19])[O:12][H:20])[H:16])[O:4][H:15],20,4,160,6
[H:13][C:2](=[O:1])[C@:3]([H:14])([C@@:5]1([C@:11]([C@@:9]([C:7](=[O:8])[O:6]1)([H:17])[O:10][H:18])([H:19])[O:12][H:20])[H:16])[O:4][H:15],20,4,160,7
[H:13][C:2](=[O:1])[C@@:3]([H:14])([C@@:5]1([C@:11]([C@@:9]([C:7](=[O:8])[O:6]1)([H:17])[O:10][H:18])([H:19])[O:12][H:20])[H:16])[O:4][H:15],20,4,160,8
[H:13][C:2](=[O:1])[C@:3]([H:14])([C@:5]1([C@@:11]([C@:9]([C:7](=[O:8])[O:6]1)([H:17])[O:10][H:18])([H:19])[O:12][H:20])[H:16])[O:4][H:15],20,4,160,9
[H:13][C:2](=[O:1])[C@@:3]([H:14])([C@:5]1([C@@:11]([C@:9]([C:7](=[O:8])[O:6]1)([H:17])[O:10][H:18])([H:19])[O:12][H:20])[H:16])[O:4][H:15],20,4,160,10
[H:13][C:2](=[O:1])[C@:3]([H:14])([C@@:5]1([C@@:11]([C@:9]([C:7](=[O:8])[O:6]1)([H:17])[O:10][H:18])([H:19])[O:12][H:20])[H:16])[O:4][H:15],20,4,160,11
[H:13][C:2](=[O:1])[C@@:3]([H:14])([C@@:5]1([C@@:11]([C@:9]([C:7](=[O:8])[O:6]1)([H:17])[O:10][H:18])([H:19])[O:12][H:20])[H:16])[O:4][H:15],20,4,160,12
[H:13][C:2](=[O:1])[C@:3]([H:14])([C@:5]1([C@@:11]([C@@:9]([C:7](=[O:8])[O:6]1)([H:17])[O:10][H:18])([H:19])[O:12][H:20])[H:16])[O:4][H:15],20,4,160,13
[H:13][C:2](=[O:1])[C@@:3]([H:14])([C@:5]1([C@@:11]([C@@:9]([C:7](=[O:8])[O:6]1)([H:17])[O:10][H:18])([H:19])[O:12][H:20])[H:16])[O:4][H:15],20,4,160,14
[H:13][C:2](=[O:1])[C@:3]([H:14])([C@@:5]1([C@@:11]([C@@:9]([C:7](=[O:8])[O:6]1)([H:17])[O:10][H:18])([H:19])[O:12][H:20])[H:16])[O:4][H:15],20,4,160,15
[H:8][C@:7]1([C@@:2]([C:4]([C:5]([N:6]1[H:19])([H:17])[H:18])([H:15])[H:16])([H:3])[C:1]([H:12])([H:13])[H:14])[C:9](=[O:10])[O:11][H:20],20,2,161,1
[H:8][C@:7]1([C@:2]([C:4]([C:5]([N:6]1[H:19])([H:17])[H:18])([H:15])[H:16])([H:3])[C:1]([H:12])([H:13])[H:14])[C:9](=[O:10])[O:11][H:20],20,2,161,2
[H:8][C@@:7]1([C@@:2]([C:4]([C:5]([N:6]1[H:19])([H:17])[H:18])([H:15])[H:16])([H:3])[C:1]([H:12])([H:13])[H:14])[C:9](=[O:10])[O:11][H:20],20,2,161,3
[H:13][C@@:4]1([C:9](=[C:11]([C:2](=[O:1])[O:3]1)[O:12][H:20])[O:10][H:19])[C@:5]([H:14])([C:7]([H:16])([H:17])[O:8][H:18])[O:6][H:15],20,2,162,1
[H:13][C@:4]1([C:9](=[C:11]([C:2](=[O:1])[O:3]1)[O:12][H:20])[O:10][H:19])[C@:5]([H:14])([C:7]([H:16])([H:17])[O:8][H:18])[O:6][H:15],20,2,162,2
[H:13][C@@:4]1([C:9](=[C:11]([C:2](=[O:1])[O:3]1)[O:12][H:20])[O:10][H:19])[C@@:5]([H:14])([C:7]([H:16])([H:17])[O:8][H:18])[O:6][H:15],20,2,162,3
[H:20][C@:8]1([C@:6]([C:5]([N:4]([C@@:3]1([H:14])[C:2]([H:12])([H:13])[N:1]([H:10])[H:11])[H:15])([H:16])[H:17])([H:18])[O:7][H:19])[O:9][H:21],21,3,163,1
[H:20][C@:8]1([C@:6]([C:5]([N:4]([C@:3]1([H:14])[C:2]([H:12])([H:13])[N:1]([H:10])[H:11])[H:15])([H:16])[H:17])([H:18])[O:7][H:19])[O:9][H:21],21,3,163,2
[H:20][C@:8]1([C@@:6]([C:5]([N:4]([C@@:3]1([H:14])[C:2]([H:12])([H:13])[N:1]([H:10])[H:11])[H:15])([H:16])[H:17])([H:18])[O:7][H:19])[O:9][H:21],21,3,163,3
[H:20][C@:8]1([C@@:6]([C:5]([N:4]([C@:3]1([H:14])[C:2]([H:12])([H:13])[N:1]([H:10])[H:11])[H:15])([H:16])[H:17])([H:18])[O:7][H:19])[O:9][H:21],21,3,163,4
[H:20][C@@:8]1([C@:6]([C:5]([N:4]([C@@:3]1([H:14])[C:2]([H:12])([H:13])[N:1]([H:10])[H:11])[H:15])([H:16])[H:17])([H:18])[O:7][H:19])[O:9][H:21],21,3,163,5
[H:20][C@@:8]1([C@:6]([C:5]([N:4]([C@:3]1([H:14])[C:2]([H:12])([H:13])[N:1]([H:10])[H:11])[H:15])([H:16])[H:17])([H:18])[O:7][H:19])[O:9][H:21],21,3,163,6
[H:20][C@@:8]1([C@@:6]([C:5]([N:4]([C@@:3]1([H:14])[C:2]([H:12])([H:13])[N:1]([H:10])[H:11])[H:15])([H:16])[H:17])([H:18])[O:7][H:19])[O:9][H:21],21,3,163,7
[H:13][C@:2]1([C:3]([C:4]([C@@:5]([N:7]1[N:8]=[O:9])([H:18])[C:6]([H:19])([H:20])[H:21])([H:16])[H:17])([H:14])[H:15])[C:1]([H:10])([H:11])[H:12],21,2,164,1
[H:13][C@@:2]1([C:3]([C:4]([C@@:5]([N:7]1[N:8]=[O:9])([H:18])[C:6]([H:19])([H:20])[H:21])([H:16])[H:17])([H:14])[H:15])[C:1]([H:10])([H:11])[H:12],21,2,164,2
[H:19][C@:8]12[C@@:4]([C:5]([C:6]([C:7]1([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])([N:3]=[C:2]([C:9]2([H:20])[H:21])[N:1]([H:10])[H:11])[H:12],21,2,165,1
[H:19][C@:8]12[C@:4]([C:5]([C:6]([C:7]1([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])([N:3]=[C:2]([C:9]2([H:20])[H:21])[N:1]([H:10])[H:11])[H:12],21,2,165,2
[H:19][C@@:8]12[C@@:4]([C:5]([C:6]([C:7]1([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])([N:3]=[C:2]([C:9]2([H:20])[H:21])[N:1]([H:10])[H:11])[H:12],21,2,165,3
[H:19][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:20])[H:21])[C@:4]2([C@:2]([C:3]2([H:14])[H:15])([H:13])[N:1]([H:11])[H:12])[H:16])[H:17])[H:18],21,2,166,1
[H:19][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:20])[H:21])[C@:4]2([C@@:2]([C:3]2([H:14])[H:15])([H:13])[N:1]([H:11])[H:12])[H:16])[H:17])[H:18],21,2,166,2
[H:19][c:8]1[c:7]([c:6]([c:5]([c:10]([c:9]1[H:20])[H:21])[C@@:4]2([C@:2]([C:3]2([H:14])[H:15])([H:13])[N:1]([H:11])[H:12])[H:16])[H:17])[H:18],21,2,166,3
[H:21][C@:9]12[C:2](=[N:3][C:4]([C@@:5]1([C:6]([C:7]([C:8]2([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])[H:14])([H:12])[H:13])[N:1]([H:10])[H:11],21,2,167,1
[H:21][C@:9]12[C:2](=[N:3][C:4]([C@:5]1([C:6]([C:7]([C:8]2([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])[H:14])([H:12])[H:13])[N:1]([H:10])[H:11],21,2,167,2
[H:21][C@@:9]12[C:2](=[N:3][C:4]([C@@:5]1([C:6]([C:7]([C:8]2([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])[H:14])([H:12])[H:13])[N:1]([H:10])[H:11],21,2,167,3
[H:18][C:7]1=[C:6]([C:5]([C@@:4]2([C@@:8]1([C:9]([C:1](=[C:2]([C:3]2([H:12])[H:13])[H:11])[H:10])([H:20])[H:21])[H:19])[H:14])([H:15])[H:16])[H:17],21,2,168,1
[H:18][C:7]1=[C:6]([C:5]([C@:4]2([C@@:8]1([C:9]([C:1](=[C:2]([C:3]2([H:12])[H:13])[H:11])[H:10])([H:20])[H:21])[H:19])[H:14])([H:15])[H:16])[H:17],21,2,168,2
[H:18][C:7]1=[C:6]([C:5]([C@@:4]2([C@:8]1([C:9]([C:1](=[C:2]([C:3]2([H:12])[H:13])[H:11])[H:10])([H:20])[H:21])[H:19])[H:14])([H:15])[H:16])[H:17],21,2,168,3
[H:13][C@:2]([C:1]([H:10])([H:11])[H:12])([C:3]([H:14])([H:15])[Cl:4])[O:5][C@@:6]([H:16])([C:7]([H:17])([H:18])[H:19])[C:8]([H:20])([H:21])[Cl:9],21,2,169,1
[H:13][C@@:2]([C:1]([H:10])([H:11])[H:12])([C:3]([H:14])([H:15])[Cl:4])[O:5][C@@:6]([H:16])([C:7]([H:17])([H:18])[H:19])[C:8]([H:20])([H:21])[Cl:9],21,2,169,2
[H:17][C@:4]1([C:5]([C@@:6]([O:8][O:9]1)([H:20])[O:7][H:21])([H:18])[H:19])[C:2]([H:13])([C:1]([H:10])([H:11])[H:12])[C:3]([H:14])([H:15])[H:16],21,2,170,1
[H:17][C@@:4]1([C:5]([C@@:6]([O:8][O:9]1)([H:20])[O:7][H:21])([H:18])[H:19])[C:2]([H:13])([C:1]([H:10])([H:11])[H:12])[C:3]([H:14])([H:15])[H:16],21,2,170,2
