smiles,n_atoms,n_stereocenters,mol_id,diastereomer_id
[H:10][C@:2]([C@@:4]([H:11])([C:5]([H:12])([H:13])[H:14])[Cl:6])([C:1]([H:7])([H:8])[H:9])[Cl:3],14,2,9,1
[H:10][C@@:2]([C@@:4]([H:11])([C:5]([H:12])([H:13])[H:14])[Cl:6])([C:1]([H:7])([H:8])[H:9])[Cl:3],14,2,9,2
[H:10][C:2]1=[C:1]([C:8]([C@:7]2([C@:3]1([S:4][S:5][S:6]2)[H:11])[H:12])([H:13])[H:14])[H:9],14,2,10,1
[H:10][C:2]1=[C:1]([C:8]([C@:7]2([C@@:3]1([S:4][S:5][S:6]2)[H:11])[H:12])([H:13])[H:14])[H:9],14,2,10,2
[H:10][C:2]1=[C:1]([C:8]([C@@:7]2([C@:3]1([S:4][S:5][S:6]2)[H:11])[H:12])([H:13])[H:14])[H:9],14,2,10,3
[H:10][C@:2]([C:1]([H:7])([H:8])[H:9])([N:3]([H:11])[H:12])[P@:4](=[O:5])([H:13])[O:6][H:14],14,2,11,1
[H:10][C@@:2]([C:1]([H:7])([H:8])[H:9])([N:3]([H:11])[H:12])[P@:4](=[O:5])([H:13])[O:6][H:14],14,2,11,2
[H:10][C@:2]([C:1]([H:7])([H:8])[H:9])([N:3]([H:11])[H:12])[P@@:4](=[O:5])([H:13])[O:6][H:14],14,2,11,3
[H:6][C@@:5]1([C@@:2]([C:4]1([H:12])[H:13])([H:3])[N:1]([H:10])[H:11])[C:7](=[O:8])[O:9][H:14],14,2,12,1
[H:6][C@:5]1([C@@:2]([C:4]1([H:12])[H:13])([H:3])[N:1]([H:10])[H:11])[C:7](=[O:8])[O:9][H:14],14,2,12,2
[H:6][C@@:5]1([C@:2]([C:4]1([H:12])[H:13])([H:3])[N:1]([H:10])[H:11])[C:7](=[O:8])[O:9][H:14],14,2,12,3
[H:11][C:4]1=[N:5][C:6]([C@:7]([C@:2]1([H:3])[O:1][H:10])([H:8])[O:9][H:14])([H:12])[H:13],14,2,13,1
[H:11][C:4]1=[N:5][C:6]([C@:7]([C@@:2]1([H:3])[O:1][H:10])([H:8])[O:9][H:14])([H:12])[H:13],14,2,13,2
[H:11][C:4]1=[N:5][C:6]([C@@:7]([C@:2]1([H:3])[O:1][H:10])([H:8])[O:9][H:14])([H:12])[H:13],14,2,13,3
[H:3][C@:2]1([C@@:8]([O:7][C:6]([C:5]([O:4]1)([H:11])[H:12])([H:13])[H:14])([H:9])[Cl:10])[Cl:1],14,2,14,1
[H:9][C@:8]1([C@:2]([O:4][C:5]([C:6]([O:7]1)([H:13])[H:14])([H:11])[H:12])([H:3])[Cl:1])[Cl:10],14,2,14,2
[H:12][C@@:4]([C:2](=[O:1])[O:3][H:11])([C@:6]([H:13])([C:8](=[O:9])[O:10][H:14])[Br:7])[Br:5],14,2,15,1
[H:12][C@:4]([C:2](=[O:1])[O:3][H:11])([C@:6]([H:13])([C:8](=[O:9])[O:10][H:14])[Br:7])[Br:5],14,2,15,2
[H:12][C@@:4]([C:2](=[O:1])[O:3][H:11])([C@@:6]([H:13])([C:8](=[O:9])[O:10][H:14])[Br:7])[Br:5],14,2,15,3
[H:8][C:1]1=[C:2]([C:3]([C@:4]2([C@:6]([C:7]1([H:14])[H:15])([O:5]2)[H:13])[H:12])([H:10])[H:11])[H:9],15,2,16,1
[H:8][C:1]1=[C:2]([C:3]([C@@:4]2([C@:6]([C:7]1([H:14])[H:15])([O:5]2)[H:13])[H:12])([H:10])[H:11])[H:9],15,2,16,2
[H:9][C@:3]1([C:4]([C@@:5]([C:7]([N:8]1[H:15])([H:13])[H:14])([H:12])[F:6])([H:10])[H:11])[C:2]#[N:1],15,2,17,1
[H:9][C@@:3]1([C:4]([C@@:5]([C:7]([N:8]1[H:15])([H:13])[H:14])([H:12])[F:6])([H:10])[H:11])[C:2]#[N:1],15,2,17,2
[H:9][C@:3]1([C:4]([C@:5]([C:7]([N:8]1[H:15])([H:13])[H:14])([H:12])[F:6])([H:10])[H:11])[C:2]#[N:1],15,2,17,3
[H:12][C@@:2]1([C@:4]([O:3]1)([H:13])[P:5](=[O:6])([O:7][H:14])[O:8][H:15])[C:1]([H:9])([H:10])[H:11],15,2,18,1
[H:12][C@:2]1([C@:4]([O:3]1)([H:13])[P:5](=[O:6])([O:7][H:14])[O:8][H:15])[C:1]([H:9])([H:10])[H:11],15,2,18,2
[H:12][C@@:2]1([C@@:4]([O:3]1)([H:13])[P:5](=[O:6])([O:7][H:14])[O:8][H:15])[C:1]([H:9])([H:10])[H:11],15,2,18,3
[H:15][C@@:4]1([C:6](=[O:7])[O:8][C@:2]([C:3]1([H:13])[H:14])([H:12])[C:1]([H:9])([H:10])[H:11])[Br:5],15,2,19,1
[H:15][C@@:4]1([C:6](=[O:7])[O:8][C@@:2]([C:3]1([H:13])[H:14])([H:12])[C:1]([H:9])([H:10])[H:11])[Br:5],15,2,19,2
[H:15][C@:4]1([C:6](=[O:7])[O:8][C@:2]([C:3]1([H:13])[H:14])([H:12])[C:1]([H:9])([H:10])[H:11])[Br:5],15,2,19,3
[H:13][C:8]1=[C:9]([C@:10]2([C:2](=[S:1])[S:3][S:4][C@@:5]2([N:6]=[C:7]1[H:12])[H:11])[H:15])[H:14],15,2,20,1
[H:13][C:8]1=[C:9]([C@:10]2([C:2](=[S:1])[S:3][S:4][C@:5]2([N:6]=[C:7]1[H:12])[H:11])[H:15])[H:14],15,2,20,2
[H:13][C:8]1=[C:9]([C@@:10]2([C:2](=[S:1])[S:3][S:4][C@@:5]2([N:6]=[C:7]1[H:12])[H:11])[H:15])[H:14],15,2,20,3
[H:3][C@@:2]1([C@:7]([C:6]([O:5][C:4]1([H:11])[H:12])([H:13])[H:14])([H:8])[O:9][H:15])[O:1][H:10],15,2,21,1
[H:8][C@:7]1([C@:2]([C:4]([O:5][C:6]1([H:13])[H:14])([H:11])[H:12])([H:3])[O:1][H:10])[O:9][H:15],15,2,21,2
[H:13][C@:7]1([C@:5]([C:4]([N:3]([C:9]1([H:14])[H:15])[N:2]=[O:1])([H:10])[H:11])([H:12])[Cl:6])[Cl:8],15,2,22,1
[H:12][C@:5]1([C@@:7]([C:9]([N:3]([C:4]1([H:10])[H:11])[N:2]=[O:1])([H:14])[H:15])([H:13])[Cl:8])[Cl:6],15,2,22,2
[H:12][C@@:5]1([C@:7]([C:9]([N:3]([C:4]1([H:10])[H:11])[N:2]=[O:1])([H:14])[H:15])([H:13])[Cl:8])[Cl:6],15,2,22,3
[H:8][C@@:7]1([C:9]([S:10]1)([H:14])[H:15])[C@:4]([H:5])([C:3]([H:11])([H:12])[C:2]#[N:1])[O:6][H:13],15,2,23,1
[H:8][C@:7]1([C:9]([S:10]1)([H:14])[H:15])[C@:4]([H:5])([C:3]([H:11])([H:12])[C:2]#[N:1])[O:6][H:13],15,2,23,2
[H:8][C@@:7]1([C:9]([S:10]1)([H:14])[H:15])[C@@:4]([H:5])([C:3]([H:11])([H:12])[C:2]#[N:1])[O:6][H:13],15,2,23,3
[H:10][C@:2]([C@@:4]([H:12])([C:5]([H:13])([H:14])[H:15])[O:6][H:16])([C:1]([H:7])([H:8])[H:9])[O:3][H:11],16,2,24,1
[H:10][C@@:2]([C@@:4]([H:12])([C:5]([H:13])([H:14])[H:15])[O:6][H:16])([C:1]([H:7])([H:8])[H:9])[O:3][H:11],16,2,24,2
[H:13][C@@:5]1([C@:3]([O:4]1)([H:12])[C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9])[C:6]([H:14])([H:15])[H:16],16,2,25,1
[H:13][C@@:5]1([C@@:3]([O:4]1)([H:12])[C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9])[C:6]([H:14])([H:15])[H:16],16,2,25,2
[H:13][C@:5]1([C@:3]([O:4]1)([H:12])[C:2]([H:10])([H:11])[C:1]([H:7])([H:8])[H:9])[C:6]([H:14])([H:15])[H:16],16,2,25,3
[H:10][C@:2]([C@@:4]([H:12])([C:5]([H:13])([H:14])[H:15])[S:6][H:16])([C:1]([H:7])([H:8])[H:9])[S:3][H:11],16,2,26,1
[H:10][C@@:2]([C@@:4]([H:12])([C:5]([H:13])([H:14])[H:15])[S:6][H:16])([C:1]([H:7])([H:8])[H:9])[S:3][H:11],16,2,26,2
[H:10][C@@:2]1([C@:7]([O:6][C:5]([C:4]([O:3]1)([H:11])[H:12])([H:13])[H:14])([H:15])[O:8][H:16])[O:1][H:9],16,2,27,1
[H:10][C@:2]1([C@:7]([O:6][C:5]([C:4]([O:3]1)([H:11])[H:12])([H:13])[H:14])([H:15])[O:8][H:16])[O:1][H:9],16,2,27,2
[H:12][C@@:2]1([C@:7]([S:6][C:4](=[O:5])[S:3]1)([H:13])[C:8]([H:14])([H:15])[H:16])[C:1]([H:9])([H:10])[H:11],16,2,28,1
[H:13][C@@:7]1([C@@:2]([S:3][C:4](=[O:5])[S:6]1)([H:12])[C:1]([H:9])([H:10])[H:11])[C:8]([H:14])([H:15])[H:16],16,2,28,2
[H:9][C:2](=[O:1])[C@:3]([H:10])([C@:5]([H:12])([C:7]([H:14])([H:15])[O:8][H:16])[O:6][H:13])[O:4][H:11],16,2,29,1
[H:9][C:2](=[O:1])[C@@:3]([H:10])([C@:5]([H:12])([C:7]([H:14])([H:15])[O:8][H:16])[O:6][H:13])[O:4][H:11],16,2,29,2
[H:9][C:2](=[O:1])[C@:3]([H:10])([C@@:5]([H:12])([C:7]([H:14])([H:15])[O:8][H:16])[O:6][H:13])[O:4][H:11],16,2,29,3
[H:14][C@:7]1([C:5](=[O:6])[N:4]([O:3][C@@:2]1([H:12])[C:1]([H:9])([H:10])[H:11])[H:13])[N:8]([H:15])[H:16],16,2,30,1
[H:14][C@:7]1([C:5](=[O:6])[N:4]([O:3][C@:2]1([H:12])[C:1]([H:9])([H:10])[H:11])[H:13])[N:8]([H:15])[H:16],16,2,30,2
[H:14][C@@:7]1([C:5](=[O:6])[N:4]([O:3][C@@:2]1([H:12])[C:1]([H:9])([H:10])[H:11])[H:13])[N:8]([H:15])[H:16],16,2,30,3
[H:12][C@:3]([C@:5]([H:14])([C:7]([H:15])([H:16])[Cl:8])[Cl:6])([C:2]([H:10])([H:11])[O:1][H:9])[O:4][H:13],16,2,31,1
[H:12][C@@:3]([C@:5]([H:14])([C:7]([H:15])([H:16])[Cl:8])[Cl:6])([C:2]([H:10])([H:11])[O:1][H:9])[O:4][H:13],16,2,31,2
[H:12][C@:3]([C@@:5]([H:14])([C:7]([H:15])([H:16])[Cl:8])[Cl:6])([C:2]([H:10])([H:11])[O:1][H:9])[O:4][H:13],16,2,31,3
[H:12][C@@:2]([C:7](=[O:8])[O:9][H:16])([C:3]([H:13])([H:14])[S@@:4](=[O:5])[O:6][H:15])[N:1]([H:10])[H:11],16,2,32,1
[H:12][C@:2]([C:7](=[O:8])[O:9][H:16])([C:3]([H:13])([H:14])[S@@:4](=[O:5])[O:6][H:15])[N:1]([H:10])[H:11],16,2,32,2
[H:12][C@@:2]([C:7](=[O:8])[O:9][H:16])([C:3]([H:13])([H:14])[S@:4](=[O:5])[O:6][H:15])[N:1]([H:10])[H:11],16,2,32,3
[H:3][C@@:2]1([C@:7]([C:6]([N:5]([C:4]1([H:11])[H:12])[H:13])([H:14])[H:15])([H:8])[O:9][H:16])[O:1][H:10],16,2,33,1
[H:8][C@:7]1([C@:2]([C:4]([N:5]([C:6]1([H:14])[H:15])[H:13])([H:11])[H:12])([H:3])[O:1][H:10])[O:9][H:16],16,2,33,2
[H:12][C@@:4]([C:2](=[O:1])[O:3][H:11])([C@:6]([H:14])([C:8](=[O:9])[O:10][H:16])[S:7][H:15])[S:5][H:13],16,2,34,1
[H:12][C@:4]([C:2](=[O:1])[O:3][H:11])([C@:6]([H:14])([C:8](=[O:9])[O:10][H:16])[S:7][H:15])[S:5][H:13],16,2,34,2
[H:12][C@@:4]([C:2](=[O:1])[O:3][H:11])([C@@:6]([H:14])([C:8](=[O:9])[O:10][H:16])[S:7][H:15])[S:5][H:13],16,2,34,3
[H:12][C:4]1=[N:5][C@:6]2([C@:10]([C:2](=[S:1])[N:3]1[H:11])([N:9]([C:8](=[N:7]2)[H:14])[H:15])[H:16])[H:13],16,2,35,1
[H:12][C:4]1=[N:5][C@@:6]2([C@:10]([C:2](=[S:1])[N:3]1[H:11])([N:9]([C:8](=[N:7]2)[H:14])[H:15])[H:16])[H:13],16,2,35,2
[H:12][C:4]1=[N:5][C@:6]2([C@@:10]([C:2](=[S:1])[N:3]1[H:11])([N:9]([C:8](=[N:7]2)[H:14])[H:15])[H:16])[H:13],16,2,35,3
[H:6][C@:5]1([C:4]([O:3][S@@:2](=[O:1])[O:10]1)([H:11])[H:12])[C:7]([H:13])([H:14])[C:8]([H:15])([H:16])[Cl:9],16,2,36,1
[H:6][C@:5]1([C:4]([O:3][S@:2](=[O:1])[O:10]1)([H:11])[H:12])[C:7]([H:13])([H:14])[C:8]([H:15])([H:16])[Cl:9],16,2,36,2
[H:6][C@@:5]1([C:4]([O:3][S@@:2](=[O:1])[O:10]1)([H:11])[H:12])[C:7]([H:13])([H:14])[C:8]([H:15])([H:16])[Cl:9],16,2,36,3
[H:13][C@:2]([C:3](=[O:4])[O:5][H:14])([C@:6]([H:15])([C:8](=[O:9])[O:10][H:16])[F:7])[N:1]([H:11])[H:12],16,2,37,1
[H:13][C@@:2]([C:3](=[O:4])[O:5][H:14])([C@:6]([H:15])([C:8](=[O:9])[O:10][H:16])[F:7])[N:1]([H:11])[H:12],16,2,37,2
[H:13][C@:2]([C:3](=[O:4])[O:5][H:14])([C@@:6]([H:15])([C:8](=[O:9])[O:10][H:16])[F:7])[N:1]([H:11])[H:12],16,2,37,3
[H:12][C@@:4]([C:2](=[O:1])[O:3][H:11])([C@:6]([H:14])([C:8](=[O:9])[O:10][H:16])[O:7][H:15])[O:5][H:13],16,2,38,1
[H:12][C@:4]([C:2](=[O:1])[O:3][H:11])([C@:6]([H:14])([C:8](=[O:9])[O:10][H:16])[O:7][H:15])[O:5][H:13],16,2,38,2
[H:12][C@@:4]([C:2](=[O:1])[O:3][H:11])([C@@:6]([H:14])([C:8](=[O:9])[O:10][H:16])[O:7][H:15])[O:5][H:13],16,2,38,3
